Banquete com os deuses /,"Veríssimo, Luís Fernando,",9788573025156
Baudolino /,"Eco, Umberto",9788501060266
Budapeste :,"Buarque, Chico,",9788535919769
Budapeste :,"Buarque, Chico,",9788535904178
Bullying na escola:,"Melo, Josevaldo Araújo de",9788578560362
Cabeamento estruturado:," Marin, Paulo S.",9788536502076
Cada homem é uma raça :,"Couto, Mia,",9788535922523
Caderno de narrativas da cultura pernambucana /,,
Caderno de um ausente /,"Carrascoza, João Anzanello,",9788540506558
Caim :,"Saramago, José,",9788535915396
Caixa de sapatos :,"Carpinejar,",8535903976
Caninos amarelados /,"Cavalcanti, Mario Filipe,",9788578583705
Caninos brancos /," London, Jack ",9788572323680
Cante lá que eu canto cá :,Patativa,8532607403
Cante lá que eu canto cá :,Patativa,9788532607409
Capitães da areia /,"Amado, Jorge,",9788535911695
Capitu sou eu /,"Trevisan, Dalton.",9788501067876
Cartas portuguesas /,"Alcoforado, Mariana,",9788525406408
Casa de pensão /,"Azevedo, Aluísio,",9788576665168
Casa-grande & senzala em quadrinhos /,"Freyre, Gilberto,",9788526010598
Casa-grande & senzala: ,"Freyre, Gilberto,",9788526019607
"Catimbó, Cana Caiana, Xenhenhém /","Ferreira, Ascenso,",9788560156559
Cem anos de solidão /," García Márquez, Gabriel ",9788501078896
Cem sonetos de amor /," Neruda, Pablo ",9788525406385
Cem sonetos de amor /," Neruda, Pablo ",9788525406385
Chatô :,"Morais, Fernando,",9788571643963
Christine /,"King, Stephen,",9788573021882
Chuva literária:,,9788536653280
"Cidadania, poder e comunicação/","Meksenas, Paulo",9788524908651
Cidade educadora: ,,9788524910609
Cinco minutos ;,"Alencar, José de,",9788508043217
Cinquenta tons de liberdade /,"James, E. L.",9788580572162
Cinquenta tons mais escuros /,"James, E. L.",9788580572100
"Citações, poesias & canções:","Lima, Artur Felipe",9788537310731
CLT:,,
CLT universitária /,"Martins, Sérgio Pinto,",852243364X
"CLT, CPC, Legislação Previdenciária e Constituição Federal/",,9788502153929
Código Civil; Código de Processo Civil/,,
Código Penal; Código de Processo Penal/,,
Coleção Giuseppe Baccaro :,,
Coletânia Ladjane Bandeira de poesia /,,9788570441584
Comédias para se ler na escola /,"Verissimo, Luis Fernando,",9788573023510
Como elaborar projetos de pesquisa/,"Gil, Antonio Carlos",852240724X
Como elaborar projetos?:,"Armani, Domingos",8586225177
Como organizar e administrar uma cooperativa :,"Crúzio, Helnon de Oliveira,",9788522503032
Como preparar boas palestras e apresentações /,"Polito, Reinaldo.",9788502015586
"Como se preparar  para o Exame de Ordem, 1ª fase: ","Oliveira, Adriano Koenigkam de",9788530934149
Como vejo o mundo /,"Einstein, Albert,",9788520904268
Competitividade na indústria metal-mecânica:,"Melo, Larissa da Costa",9788547300098
Comportamento humano nas organizações :,"Kanaane, Roberto.",8522412278
Comportamento organizacional :,"Robbins, Stephen, P.,",9788576055693
Comportamento organizacional :,"Wagner III, John A.",9788502028692
Computação gráfica para programadores Java /,"Ammeraal, Leendert.",9788521616290
Conquistar e manter clientes:,"Godri, Daniel",9788585415495
Consolidação das leis do trabalho/,,9788502022669
Constelações Familiares: ," Hellinger, Bert ",9788531606731
Consumo sustentável no Brasil:,"Cordeiro, Itamar José Dias e",9788541501569
Contabilidade avançada:,"Almeida, Marcelo Cavalcanti",8564213692
Contabilidade básica fácil /,"Ribeiro, Osni Moura",9788502182097
Contabilidade de custos :,"Martins, Eliseu,",9788522459353
Contabilidade para entidades sem fins lucrativos (Terceiro Setor) /,"Olak, Paulo Arnaldo",9788522459766
Contabilidade pública :,,9788522461219
Contos :,"Assis, Machado de,",9788508043392
Contos & Poemas /  ,,
Contos de Shakespeare /,"Lamb, Charles,",9788525015341
Contos e lendas da mitologia grega /," Pouzadoux, Claude ",9788535900873
Contos eróticos /,"Trevisan, Dalton,",9788501025678
Contos escolhidos :,"Assis, Machado de,",9788572324663
Contos escolhidos :,"Assis, Machado de,",9788572324663
Contos plausíveis /,"Andrade, Carlos Drummond de,",8501063266
Contos populares do Brasil /,"Roméro, Silvio",9788563171658
Contos tradicionais do Brasil /,"Cascudo, Luís da Câmara,",8526006851
Contos universais /,,9788508083084
Contradições da escola:,"Casagrande, Renato",9788580691207
Cooperativas de trabalho/,"Silva Filho, Cícero Virgulino da",9788522430703
Corrente crítica /,"Goldratt, Eliyahu M.,",9788521313106
Crime e castigo /,"Dostoiévski, Fiódor ",9788573262087
Cruzamentos poéticos Portugal-Brasil :,,9788588911031
"Curso de direito comercial, volume 2 :","Coelho, Fábio Ulhoa,",9788502216457
"Curso de direito comercial, volume 3 :","Coelho, Fábio Ulhoa,",9788502216488
Curso de direito do consumidor /,"Nunes, Rizzatto,",9788502165366
Curso de estatística básica:," Costa, Giovani Glaucio de Oliveira",9788522466597
Curso de ética em administração/,"Alonso, Félix Ruiz",9788522442065
Curso didático de direito civil/,"Nunes, Elpídio Donizetti",9788522475971
Curso didático de direito processual civil /,"Nunes, Elpídio Donizetti.",9788522475933
Cursos Sequenciais:,"Martins, Rubens de Oliveira ",9788574602295
Dançando sobre destroços /,"Layse, Paula",9788555600234
Dentro de um livro :,,9788587220875
Destrua este diário :,"Smith, Keri.",9788580574166
Diário da queda /,"Laub, Michel,",9788535918175
Dicionário da língua portuguesa /,,
Dicionário do folclore brasileiro /,"Cascudo, Luis da Câmara,",9788526006447
Dicionário Oxford escolar :,,9780194419505
Direito administrativo:,"Freire, Elias",9788535245028
Direito Administrativo Descomplicado/,"Alexandrino, Marcelo",8564199862
Direito civil:,"Figueiredo, Fábio Vieira",8564229602
Direito civil/,"Figueiredo, Fábio Vieira",8564236262
Direito comercial:,"Burgarelli, Aclibes",8564229604
Direito constitucional descomplicado /,"Paulo, Vicente,",9788530929183
Direito constitucional esquematizado /," Lenza, Pedro",9788502079168
Direito constitucional simplificado/,"Capez, Fernando",9788502197077
Direito do trabalho/," Saraiva, Renato","9,7885309449e+012"
Direito do trabalho :,"Almeida, André Luiz Paes de.",9788533917286
Direito Internacional público e privado/," Di Lorenzo, Carlos Alberto",9788533914551
Direito processual tributário:,"Campos, Dejalma de.",9788533914643
Direitos e deveres dos trabalhadores /,,
Discursos e anatomias /,"Ferreira, Joseilson José,",9788578581763
Diva :,"Alencar, José de,",
Do cidadão/,"Hobbes, Thomas",9788572325981
Do desejo /,"Hilst, Hilda.",9788525039057
Doenças ocupacionais :,"Moraes, Márcia Vilma G.,",9788576140627
Dois é demais! /," Westlake, Donald E. ",9788571645202
Dois nós na gravata /,"Melo, Rômulo César,",9788578582517
Dois rios /,"Levy, Tatiana Salem,",9788501096197
Dom Casmurro /,"Assis, Machado de,",9780000996657
Eça de Queiros:," Queiroz, Eça de ",9788522006847
Echarpe cor-de-rosa /," Lima, Alaíde Correia ",9788586206566
Educação a distância:,"Barros, Joy Nunes da Silva",9788544900840
Educação a distância:," Valente, José Armando",9788532307156
Educação a distância :,"Moore, Michael,",9788522112869
Educação em direitos humanos e diversidade/,,9788541500159
"Educação, Tecnologia e Inovação / ",,9788567562070
Elementos de eletrônica digital /,"Idoeta, Ivan V.",9788571940192
Eles fizeram tudo errado!:,"Horowitz, Adam",9788588647992
Em defesa do preconceito:,"Dalrymple, Theodore ",9788580332155
Empreendedorismo :,"Chiavenato, Idalberto,",9788502045132
Empreendedorismo :,"Baron, Robert A.",8522105332
Empreendedorismo estratégico :,,9788522106080
Empreendedorismo urbano :,"Compans, Rose.",8571395705
Encontre Deus na cabana /," Rauser, Randal D.",9788576654636
Ensaio sobre a cegueira :,"Saramago, José,",9788571644953
Ensaios /,"Montaigne, Michel de,",8535118551
Entre a vida e a morte:,"Efferding, Lúcia Okamoto",
Era tudo mentira:,"Silva, Marconi Oliveira da",9788564586024
O Espião /," Cussler, Clive ",9788563219985
Espumas flutuantes /,"Alves, Castro,",
Estar sendo. Ter sido /,"Hilst, Hilda.",9788525041883
Estatística básica :,,9788535230307
Estatística básica para concursos /,"Bello, Pedro",9788589521314
Estatística fácil /,"Crespo, Antonio Arnot.",9788502081062
Este seu olhar:,,9788516050955
Estrategia competitiva: tecnicas para análise de indústrias e da concorrência /,"Porter, Michael E.",9788570013378
Estratégia e sucesso nas empresas /,"Zaccarelli, Sérgio Baptista",
